job_title,occupation,records
其他板摸                                ,01,1
協理,01,6
受僱員工                                ,01,1
店員                                    ,01,1
怪手司機,01,1
承包商                                  ,01,1
服務及銷售業務人員                      ,01,2
服務助理,01,1
服務員                                  ,01,1
林春錦                                  ,01,1
板模                                    ,01,1
板模工,01,1
板模工程人員,01,1
板模技師                                ,01,1
泥水工                                  ,01,2
泥匠工,01,1
泥作,01,1
泥作工                                  ,01,1
泥作師傅                                ,01,3
泥作學徒                                ,01,1
法務                                    ,01,3
油漆工                                  ,01,4
油漆師父                                ,01,2
油漆師傅                                ,01,1
版模師父,01,1
社區秘書                                ,01,1
空調工程師                              ,01,1
股東                                    ,01,4
股東、業務                              ,01,1
股長                                    ,01,2
門市人員                                ,01,1
保溫技師                                ,01,1
保養工程師                              ,01,1
品保工程師                              ,01,2
品保主任,01,1
品保員                                  ,01,2
品管,01,7
品管人員                                ,01,6
品管工程師                              ,01,8
品管助理                                ,01,2
品管員                                  ,01,1
品管組長                                ,01,1
品管經理,01,1
品質保證（QA)                           ,01,1
品檢人員                                ,01,1
城市設計師,01,1
室內設計                                ,01,1
室內設計助理                            ,01,2
室內設計師                              ,01,21
室內設計電腦繪圖                        ,01,1
室內設計總監                            ,01,1
客戶經理                                ,01,1
客服,01,1
客服專員                                ,01,2
建材檢測專員                            ,01,1
建造工程師                              ,01,1
建造主任                                ,01,1
建築工                                  ,01,1
建築工人                                ,01,1
建築行政,01,1
建築估算人員                            ,01,1
建築師                                  ,01,20
建築師 因疫情目前待業                   ,01,1
建築師/設計師                           ,01,1
建築設計                                ,01,1
建築設計師                              ,01,24
建築設計專員                            ,01,1
建築設計處高級專員                      ,01,1
建築監工                                ,01,2
建築製圖工程師                          ,01,1
建築繪圖                                ,01,1
施工人員                                ,01,3
施工作業員,01,1
施工電梯操作手,01,1
洗櫃人員                                ,01,1
派駐工程司                              ,01,1
研究助理                                ,01,1
研發                                    ,01,1
研發工程師,01,5
研發生產部,01,1
研發師                                  ,01,1
美工,01,1
美術設計師                              ,01,1
美編                                    ,01,1
英文行政翻譯                            ,01,1
計畫經理                                ,01,1
負責人,01,201
負責人/土木技師                         ,01,1
負責人或代表人                          ,01,1
重機械司機,01,1
倉庫理貨員                              ,01,1
倉管,01,1
倉管員                                  ,01,1
倉儲,01,1
員工                                    ,01,129
家具設計師                              ,01,1
師父                                    ,01,3
師傅                                    ,01,20
浪板師父                                ,01,1
消防工程師                              ,01,2
消防設計                                ,01,1
消防設備士                              ,01,2
特別助理                                ,01,1
特助                                    ,01,9
特助助理                                ,01,1
祕書                                    ,01,1
秘書,01,7
能源部副理,01,1
財務,01,6
財務人員                                ,01,2
財務助理                                ,01,2
財務長,01,1
財務副理                                ,01,3
財務專員                                ,01,2
財務會計                                ,01,1
財務經理                                ,01,1
財務管理                                ,01,1
財會人員,01,1
財會專員                                ,01,1
高級工程師,01,3
高級專員                                ,01,3
高級管理師                              ,01,1
副工程師,01,4
副主任                                  ,01,3
副主任工程師                            ,01,1
副老闆                                  ,01,1
副理                                    ,01,13
副組長                                  ,01,2
副處長                                  ,01,1
副董秘書                                ,01,1
副管理師                                ,01,1
副課長                                  ,01,2
副總                                    ,01,2
副總經理                                ,01,7
國貿業務助理                            ,01,1
堅工,01,1
堆高機手,01,1
基層主管                                ,01,1
執行長,01,1
執行特助                                ,01,1
執行董事                                ,01,1
專任工程人員                            ,01,2
專任技師                                ,01,1
專技                                    ,01,1
專技人員                                ,01,1
專員,01,23
專員內勤,01,1
專案人員                                ,01,1
專案工程師                              ,01,5
專案合約經理                            ,01,1
專案助理                                ,01,1
專案建築師                              ,01,1
專案建築設計師                          ,01,1
專案規劃                                ,01,1
專案設計師,01,12
專案業務                                ,01,1
專案經理                                ,01,25
專案管理師                              ,01,2
專案駐府人員                            ,01,1
專業技術員                              ,01,1
專業研究助理                            ,01,1
接案裝潢                                ,01,1
接管,01,1
採發                                    ,01,1
採購,01,13
採購人員,01,2
採購副理,01,1
採購專員,01,3
採購發包                                ,01,1
採購總務                                ,01,1
清水模規劃師                            ,01,1
清艙工                                  ,01,1
現場人員                                ,01,2
現場工程師,01,18
現場員工                                ,01,1
現場監工,01,2
現場操作員                              ,01,1
現場環安衛督導                          ,01,1
粗工,01,1
組長,01,9
規劃工程師                              ,01,4
規劃科工程師                            ,01,1
規劃師,01,3
規劃組組長                              ,01,1
規劃設計師                              ,01,1
規劃設計部                              ,01,1
規劃設計部-設計師                       ,01,1
規劃部工程員                            ,01,1
規劃部助理                              ,01,1
規劃部專員                              ,01,1
設計                                    ,01,4
設計人員                                ,01,5
設計工程師,01,10
設計助理                                ,01,33
設計員                                  ,01,1
設計員工                                ,01,1
設計師                                  ,01,151
設計師助理                              ,01,2
設計專員                                ,01,5
設計規劃                                ,01,1
設計部助理                              ,01,1
設計部副理                              ,01,2
設計部經理                              ,01,2
設計部襄理                              ,01,1
設計總監                                ,01,2
設備工程師                              ,01,1
設備檢測人員                            ,01,1
貨車司機                                ,01,1
軟體工程師                              ,01,1
部經理                                  ,01,2
都計規劃師,01,2
勞工安全衛生管理員                      ,01,1
勞安                                    ,01,1
勞安人員                                ,01,1
勞安工程師                              ,01,1
勞安助理工程師                          ,01,1
勞安管理師,01,1
場務                                    ,01,1
場勘                                    ,01,1
普通職員,01,1
景觀工程師,01,2
景觀設計師                              ,01,2
植栽工                                  ,01,1
測量人員                                ,01,1
測量助理                                ,01,1
測量員                                  ,01,7
測試人員                                ,01,1
測試員,01,2
測試專員                                ,01,1
無                                      ,01,15
結構工程師                              ,01,5
結構設計                                ,01,1
結構繪圖工程師                          ,01,1
貼磁磚師傅                              ,01,1
貼磚師傅,01,1
跑照人員                                ,01,1
開發行政                                ,01,1
開發採發人員                            ,01,1
雇主,01,5
雇員                                    ,01,2
雲端醫療專案經理                        ,01,1
園藝照護師組長                          ,01,1
塔吊手                                  ,01,1
搭架工                                  ,01,1
搭架師傅                                ,01,1
會計                                    ,01,135
會計人員                                ,01,3
會計小姐                                ,01,1
會計主任,01,1
會計主管                                ,01,1
會計行政                                ,01,3
會計行政人員                            ,01,1
會計助理,01,7
會計專員,01,1
會務                                    ,01,1
會務人員                                ,01,1
業主監造                                ,01,1
業助                                    ,01,1
業務,01,26
業務人員                                ,01,2
業務主管,01,1
業務行政,01,1
業務助理,01,12
業務員,01,2
業務專員                                ,01,7
業務會計                                ,01,1
業務經理                                ,01,9
照服員,01,1
經理,01,58
經管財務或會計,01,2
董事,01,6
董事長,01,8
董事長、總經理、負責人／代表人、執行長  ,01,4
董事長特助                              ,01,1
董事長秘書                              ,01,1
裝修人員                                ,01,1
裝修師傅                                ,01,2
裝潢工程人員                            ,01,1
裝潢木工                                ,01,1
裝潢師                                  ,01,1
裝潢師傅                                ,01,3
試驗人員                                ,01,1
試驗員                                  ,01,1
資訊工程師                              ,01,2
資深工程師                              ,01,4
資深主任                                ,01,1
資深專員                                ,01,1
資深專案經理,01,1
資深組長                                ,01,1
資深設計師                              ,01,2
資深測試員                              ,01,2
資深電子工程師,01,1
資深管理師                              ,01,1
資產專員                                ,01,2
電氣工程師                              ,01,1
電務,01,1
電焊人員,01,1
電焊工                                  ,01,1
電腦資訊相關工程師                      ,01,3
電腦繪圖員                              ,01,2
電機工程師                              ,01,3
預算員                                  ,01,1
僱主                                    ,01,2
圖形設計,01,1
圖書人員                                ,01,1
實習生                                  ,01,2
實驗人員                                ,01,1
實驗室主管                              ,01,1
監工                                    ,01,33
監工人員                                ,01,1
監工專員                                ,01,1
監造                                    ,01,6
監造人員                                ,01,1
監造工程師                              ,01,13
監造主任                                ,01,4
磁磚施工                                ,01,1
磁磚師傅,01,1
管理                                    ,01,2
管理人,01,1
管理人員,01,2
管理員                                  ,01,1
管理師,01,1
管理部經理                              ,01,2
網路行銷                                ,01,1
維修工程師,01,1
維修保養員,01,1
製成/品管工程師,01,1
製造部組長                              ,01,1
製程工程師,01,1
製圖                                    ,01,1
製圖(施工工程圖)                        ,01,1
製圖工程師                              ,01,1
製圖員                                  ,01,4
輕鋼架                                  ,01,1
輕鋼架師傅                              ,01,1
領料員                                  ,01,1
領班                                    ,01,8
廢水處理專責人員                        ,01,1
廢棄物清除處理技術員                    ,01,1
廚具設計師                              ,01,1
廟宇彩繪師傅                            ,01,1
廠長,01,4
廠務                                    ,01,3
廠務工安                                ,01,1
廠務助理                                ,01,1
廠務經理                                ,01,1
模板工,01,1
模板技術工                              ,01,1
樓梯貼磚                                ,01,1
潛水員,01,1
課長                                    ,01,6
輪班技術員                              ,01,1
輪機長                                  ,01,1
銷售兼行政人員,01,1
鋁窗師傅                                ,01,1
駐府人員                                ,01,2
駐場維修員                              ,01,1
駐點人員                                ,01,2
駐點工程師,01,2
駕駛,01,1
學徒                                    ,01,12
操作員                                  ,01,8
